physical_parcel,previous_codes,proposed_codes,previous_revision,proposed_revision,action,confidence,status,evidence,previous_areas_sqm,proposed_areas_sqm,previous_geometry_versions,previous_geometry_hashes,proposed_geometry_hashes,proposed_geometry_version,production_entity_ids,production_lot_ids,required_approval
R oeste parcela 17,"[""Q-R-17""]","[""Q-R-17""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-17"": 450}","{""Q-R-17"": ""450.00""}","{""Q-R-17"": 5}","{""Q-R-17"": ""052aff59daa12b99bb66e674c81df275a7a836b19003fa8c6282d071b485fd57""}","{""Q-R-17"": ""fb60e4f9dcfa5351e65448781bc1e6b1f7ff0adc2cc67324435aff5dd840b18f""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 18,"[""Q-R-18""]","[""Q-R-18""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-18"": 450}","{""Q-R-18"": ""450.00""}","{""Q-R-18"": 5}","{""Q-R-18"": ""dacca9057a1ae24b6cd3743d52acd965c47c607169ce2344a6dbff2274288742""}","{""Q-R-18"": ""110ab2d174822cc72846bda25739658198602305a7b993558ecaefde8fb3f236""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 19,"[""Q-R-19""]","[""Q-R-19""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-19"": 450}","{""Q-R-19"": ""450.00""}","{""Q-R-19"": 5}","{""Q-R-19"": ""fe62db5ffa9b8603ba4a0598ebb6ef5c7b06214853b4126fc21d1d2d3da91731""}","{""Q-R-19"": ""98a63435a2cafb50e7dae01333f63a63ff35e9a02a4c753ce6a57af843665e22""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R dupla central 03,"[""Q-R-03""]","[""Q-R-03""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,ajuste_area_limite_candidato,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-03"": 995.45}","{""Q-R-03"": ""650.00""}","{""Q-R-03"": 5}","{""Q-R-03"": ""05e8ce6f9c5d66affecd0d8a33fb8c2ef765f08f500ebefcf9662d74b7444d55""}","{""Q-R-03"": ""fbbd721216259bf9f6d50e631f0fa7de259c14d58c6abf8886dc080928e036b6""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R dupla central 04,"[""Q-R-04""]","[""Q-R-04""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,ajuste_area_limite_candidato,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-04"": 1000}","{""Q-R-04"": ""644.75""}","{""Q-R-04"": 5}","{""Q-R-04"": ""639f294e2d23ff0d1436f2544f408158e605cd4dce3e17e4588070b969f201ed""}","{""Q-R-04"": ""dd1c28e09a3ab5fb844ecfdabf919f34726420c17709eaef1d2703104e4c140c""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 1,"[""Q-R-48""]","[""Q-R-40""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-48"": 500}","{""Q-R-40"": ""500.00""}","{""Q-R-48"": 5}","{""Q-R-48"": ""359c8e841b370f79ed883d955de3edffd1a3ff7b1e3c1df6112665eba5f96492""}","{""Q-R-40"": ""6ffdb6afa3d553cf9707ab56ef41d62f4859a5c71c43eebc2256ef7a08683f44""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 2,"[""Q-R-49""]","[""Q-R-41""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-49"": 500}","{""Q-R-41"": ""500.00""}","{""Q-R-49"": 5}","{""Q-R-49"": ""bc5ab25a9ee0761742d13ee74495cbe74c32c804dd3f4a9c6eb7c624215ec226""}","{""Q-R-41"": ""6ca20ba2a338763e68a56fa005955bc17ef75fe157672db11929b418eab6eadc""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 3,"[""Q-R-50""]","[""Q-R-42""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-50"": 500}","{""Q-R-42"": ""500.00""}","{""Q-R-50"": 5}","{""Q-R-50"": ""d8d5887f5e31c6b6958477fc8d1815c3e836fcb2f043a9bc881b8316d3d626a5""}","{""Q-R-42"": ""74fff74fb8922f24263e30833d367ab54d3847b5378842214807f7d3742c1d50""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 4,"[""Q-R-51""]","[""Q-R-43""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-51"": 500}","{""Q-R-43"": ""500.00""}","{""Q-R-51"": 5}","{""Q-R-51"": ""2efa38c52a2c256d49821f62186d111f48bacd211ce8bfdd7fbf66c1246fb456""}","{""Q-R-43"": ""89857a0703c8b52d534eb1ccc42189d837441152532c94f54944d8e2bd852f88""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 5,"[""Q-R-52""]","[""Q-R-44""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-52"": 500}","{""Q-R-44"": ""500.00""}","{""Q-R-52"": 5}","{""Q-R-52"": ""5aec849bc92c0aa37209099f2a63e11b64a37d18804078b38f58053248966765""}","{""Q-R-44"": ""34f88ddc71d3ac13dc270abc3334ae7f3d020ef05422747677477114fff7c8f2""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 6,"[""Q-R-53""]","[""Q-R-45""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-53"": 500}","{""Q-R-45"": ""500.00""}","{""Q-R-53"": 5}","{""Q-R-53"": ""92171e742841d0996047a99cd28c63d8a5c92b44409aabeaeb9efe5499ed2408""}","{""Q-R-45"": ""63445c41d59650fb42fe2da7b72642a6d5c64c0421464f2a8e24bacba65e5c5b""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 7,"[""Q-R-54""]","[""Q-R-46""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-54"": 500}","{""Q-R-46"": ""500.00""}","{""Q-R-54"": 5}","{""Q-R-54"": ""f22f38282be146e2a090324ebfaf397d245cc222e45e728a0f11a53eb51617b1""}","{""Q-R-46"": ""7dbd8a9b483686bf8d60f39d4299ccfb6f49c58cffc79be313550ecca5c71ecc""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa superior leste posicao 8,"[""Q-R-55""]","[""Q-R-47""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-55"": 705.35}","{""Q-R-47"": ""705.35""}","{""Q-R-55"": 5}","{""Q-R-55"": ""dbffaf3aed175d36e174bc87d00852303334a6a2aed43576ee155af177bc0ecd""}","{""Q-R-47"": ""daf4fe3239158815c19fd20d6b20cc0ef05f54a9e4288094f91964ef6554afd5""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R perimetro inferior posicao 1,"[""Q-R-56""]","[""Q-R-62""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_e_ajuste_limite_candidatos,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-56"": 471}","{""Q-R-62"": ""471.00""}","{""Q-R-56"": 5}","{""Q-R-56"": ""9bc83e7a67fc70f3918ecc8d586ad59d235875eb95d7dfb3fc20a93fd59e4abf""}","{""Q-R-62"": ""70b10f8a9c79934f81a56b39801bc75ca244714936cbb6945a32cae3c72011e3""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R perimetro inferior posicao 2,"[""Q-R-57""]","[""Q-R-63""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_e_ajuste_limite_candidatos,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-57"": 471}","{""Q-R-63"": ""471.00""}","{""Q-R-57"": 5}","{""Q-R-57"": ""807d5389edd43b49eff33b2bfbedee51f181a4a2336edf7e25ab95a7134b7b00""}","{""Q-R-63"": ""29135492e1fb67a5a60334b0db429ce5fcf62905b1d3f2b11daa44dc67fd3467""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R perimetro inferior posicao 3,"[""Q-R-58""]","[""Q-R-64""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_e_ajuste_limite_candidatos,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-58"": 471}","{""Q-R-64"": ""471.00""}","{""Q-R-58"": 5}","{""Q-R-58"": ""1adb7ff17583d3e02834772b8b39b073872a78592bb8cea2e97d6b719d378028""}","{""Q-R-64"": ""84e6cd96deb290b79c4413f97f8d41e22f26081c5b0e0a761c82dff28aa9d071""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R perimetro inferior posicao 4,"[""Q-R-59""]","[""Q-R-65""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_e_ajuste_limite_candidatos,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-59"": 471}","{""Q-R-65"": ""471.00""}","{""Q-R-59"": 5}","{""Q-R-59"": ""a5d2c71d3f3086995bf801168831fa6341d96b3fdb209ef13f555ef1587a0005""}","{""Q-R-65"": ""39bc43b4a74a0684e79388d3e3272e23d91e597651b83c7dcdb0b121f86a2b99""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R ilha central leste posicao 1,"[""Q-R-28""]","[""Q-R-26""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-28"": 495}","{""Q-R-26"": ""495.00""}","{""Q-R-28"": 5}","{""Q-R-28"": ""a8be3541254634df3237c9118ddee23adbe686467b065de4e79e69dad5420ea3""}","{""Q-R-26"": ""a30433508c963dc2ced17e2f86fb1dfb46e9a4f36250149bcd4be020393b18c1""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R ilha central leste posicao 2,"[""Q-R-29""]","[""Q-R-27""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-29"": 495}","{""Q-R-27"": ""495.00""}","{""Q-R-29"": 5}","{""Q-R-29"": ""2bf425db39be9939aeabb3d96b212d0c321cda446b932b5867525ea07a52c84f""}","{""Q-R-27"": ""18247fc70b2bf19a904df68b242b6f97e28aa86f78bf668b8c4020927bd9e314""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R ilha central leste posicao 3,"[""Q-R-30""]","[""Q-R-28""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-30"": 495}","{""Q-R-28"": ""495.00""}","{""Q-R-30"": 5}","{""Q-R-30"": ""cf75d0563469aaa03c58c475c91f83281c9f197dbd6a0f61303d183d97e81ccd""}","{""Q-R-28"": ""d6aba49cb540ef9b07acb13a3033ff553073bfad9592394cf550c8b851979ccd""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha oeste coluna 1,"[""Q-R-41""]","[""Q-R-48"", ""Q-R-55""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-41"": 498.16}","{""Q-R-48"": ""249.64"", ""Q-R-55"": ""249.60""}","{""Q-R-41"": 5}","{""Q-R-41"": ""70a44a64f86abda5075de8dd6ce6384cd00f100cab187ccdd3371ea9e7547c94""}","{""Q-R-48"": ""7c2e69b45b514fcf227226c65d7c51046df7c6874f2401d76287796ad9d11e2f"", ""Q-R-55"": ""ec4ae8060f105139e21081b606a1b684ae56c015ad165aa3f111170ba3d5a63e""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha oeste coluna 2,"[""Q-R-42""]","[""Q-R-49"", ""Q-R-56""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-42"": 498.16}","{""Q-R-49"": ""249.12"", ""Q-R-56"": ""249.03""}","{""Q-R-42"": 5}","{""Q-R-42"": ""ede24a220e061e47f44672cdbf839081bbb0d3bc8252a11343c770f3d7953fe8""}","{""Q-R-49"": ""ec38515c0efbdb896e8999fa9095db1d09a7a0ff1a99fcf86c335ad711cde725"", ""Q-R-56"": ""834a49db7e4b661b7597d13586615632bb70ac9a1cc8d0f604ded294c4f522b3""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha oeste coluna 3,"[""Q-R-43""]","[""Q-R-50"", ""Q-R-57""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-43"": 498.16}","{""Q-R-50"": ""250.05"", ""Q-R-57"": ""248.02""}","{""Q-R-43"": 5}","{""Q-R-43"": ""ade701c8deb3a29aa2f0880de9637f75a9d18ce5bd56df9573ed65e94581e0d8""}","{""Q-R-50"": ""69cd20e0b3e7cee89ae04e44d9232ba284f0425948db729c24df905331344483"", ""Q-R-57"": ""c052e13f7dbba7a32530b9afef6ed067b493fdac931f98639b9eaf513926b8e0""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha leste coluna 1,"[""Q-R-44""]","[""Q-R-51"", ""Q-R-58""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-44"": 500}","{""Q-R-51"": ""251.01"", ""Q-R-58"": ""249.12""}","{""Q-R-44"": 5}","{""Q-R-44"": ""583cd9d3e57eb8b88f573ae05b04eb3048d67942ec140ac7b54d6f37c29550dd""}","{""Q-R-51"": ""ffd54f49be0df76d01d6243c465c0ccc6f11a30cecaa3bd7df6327941bf7eb36"", ""Q-R-58"": ""8020fc5dfe59c8ec5afa6e26754abd8d1642c5529f64292a1dee091fe27631ce""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha leste coluna 2,"[""Q-R-45""]","[""Q-R-52"", ""Q-R-59""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-45"": 500}","{""Q-R-52"": ""250.00"", ""Q-R-59"": ""250.00""}","{""Q-R-45"": 5}","{""Q-R-45"": ""94330fca6eaa9b24aaee0f1d1fc393ed258ef4ba111fe2d22b26f0d2669765a5""}","{""Q-R-52"": ""bfb38cbc5aeda85bdd7fb78158c1def688c480302c9f1fc5489049d0fc85b638"", ""Q-R-59"": ""b0580f0992f72b97f2e632b98672f522b9c79db0fe019b2408ca6227859cac3a""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha leste coluna 3,"[""Q-R-46""]","[""Q-R-53"", ""Q-R-60""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-46"": 500}","{""Q-R-53"": ""249.96"", ""Q-R-60"": ""250.03""}","{""Q-R-46"": 5}","{""Q-R-46"": ""a5c9275a507522759ff6b05e93689721c6e9d407e4359b8adb48a760600aea62""}","{""Q-R-53"": ""0772c2a96ed05dee055cbdee01f2514ed4c07b80188b2637515d10b8fcfd0cf1"", ""Q-R-60"": ""0f11b811e7cf76b48be01fa99618f33abcee5e9a17f449c7978a27c89ad4dad7""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R pequena ilha leste coluna 4,"[""Q-R-47""]","[""Q-R-54"", ""Q-R-61""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,divisao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-47"": 598.9}","{""Q-R-54"": ""356.69"", ""Q-R-61"": ""242.21""}","{""Q-R-47"": 5}","{""Q-R-47"": ""f749e74c4dc523c10acba31f189d6d0aa68191163edd66725bd00283be5684b3""}","{""Q-R-54"": ""f81569bc14a5de7ded144294fc807357994dd54ab8a9d954bd161b626de8f2f9"", ""Q-R-61"": ""ddde5ad226ccbdbd73c302f3740c2d084390411e0ab80869f83d5fe0716432d6""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
